month,department,claim_type,claim_status,claim_count,claim_amount,avg_processing_days,aging_0_30,aging_31_60,aging_61_90,aging_90_plus
2024-02,Orthopedics,Professional,Paid,42,20618.64,22.6,37,4,1,0
2024-02,Orthopedics,Facility,Submitted,7,21031.72,5.8,6,1,0,0
2024-02,Orthopedics,Facility,In Review,9,27198.9,26.5,4,3,1,1
2024-02,Orthopedics,Facility,Approved,14,39553.5,18.0,10,3,1,0
2024-02,Orthopedics,Facility,Denied,8,25518.28,42.1,1,2,3,2
2024-02,Orthopedics,Facility,Paid,30,105856.58,24.8,26,4,0,0
2024-02,Orthopedics,Pharmacy,Submitted,5,1058.81,5.8,5,0,0,0
2024-02,Orthopedics,Pharmacy,In Review,6,1291.78,21.7,3,2,1,0
2024-02,Orthopedics,Pharmacy,Approved,9,1845.16,17.9,7,2,0,0
2024-02,Orthopedics,Pharmacy,Denied,5,1197.85,38.3,0,2,2,1
2024-02,Orthopedics,Pharmacy,Paid,20,3778.57,23.1,18,2,0,0
2024-02,Orthopedics,Lab,Submitted,4,650.58,5.8,4,0,0,0
2024-02,Orthopedics,Lab,In Review,6,750.07,24.3,3,2,1,0
2024-02,Orthopedics,Lab,Approved,8,1172.64,17.1,6,2,0,0
2024-02,Orthopedics,Lab,Denied,5,827.25,41.1,0,2,2,1
2024-02,Orthopedics,Lab,Paid,20,3152.66,20.9,18,2,0,0
2024-02,Orthopedics,Imaging,Submitted,3,2338.74,5.5,3,0,0,0
2024-02,Orthopedics,Imaging,In Review,5,3636.31,24.5,2,2,1,0
2024-02,Orthopedics,Imaging,Approved,7,5790.14,16.5,5,2,0,0
2024-02,Orthopedics,Imaging,Denied,4,2756.96,41.3,0,1,2,1
2024-02,Orthopedics,Imaging,Paid,17,13547.95,23.7,15,2,0,0
2024-02,Pediatrics,Professional,Submitted,11,5467.03,6.0,10,1,0,0
2024-02,Pediatrics,Professional,In Review,15,6978.54,23.8,6,5,3,1
2024-02,Pediatrics,Professional,Approved,19,9821.26,17.5,13,4,2,0
2024-02,Pediatrics,Professional,Denied,13,6269.45,45.3,2,4,4,3
2024-02,Pediatrics,Professional,Paid,49,20798.24,21.2,43,5,1,0
2024-02,Pediatrics,Facility,Submitted,8,27621.28,5.7,7,1,0,0
2024-02,Pediatrics,Facility,In Review,11,34289.73,25.9,4,4,2,1
2024-02,Pediatrics,Facility,Approved,16,54784.18,18.5,11,4,1,0
2024-02,Pediatrics,Facility,Denied,10,33741.34,38.9,1,3,3,3
2024-02,Pediatrics,Facility,Paid,40,138391.4,21.3,35,4,1,0
2024-02,Pediatrics,Pharmacy,Submitted,6,1261.19,5.5,5,1,0,0
2024-02,Pediatrics,Pharmacy,In Review,8,1864.31,22.2,3,3,1,1
2024-02,Pediatrics,Pharmacy,Approved,10,1815.66,16.2,7,3,0,0
2024-02,Pediatrics,Pharmacy,Denied,7,1467.12,40.1,1,2,3,1
2024-02,Pediatrics,Pharmacy,Paid,26,6246.26,21.0,23,3,0,0
2024-02,Pediatrics,Lab,Submitted,5,631.58,6.3,5,0,0,0
2024-02,Pediatrics,Lab,In Review,7,1068.52,22.9,3,3,1,0
2024-02,Pediatrics,Lab,Approved,10,1567.34,19.2,7,3,0,0
2024-02,Pediatrics,Lab,Denied,5,769.31,46.4,0,2,2,1
2024-02,Pediatrics,Lab,Paid,23,3109.13,24.0,20,3,0,0
2024-02,Pediatrics,Imaging,Submitted,4,3100.34,5.4,4,0,0,0
2024-02,Pediatrics,Imaging,In Review,6,4418.34,23.2,3,2,1,0
2024-02,Pediatrics,Imaging,Approved,8,5177.23,17.6,6,2,0,0
2024-02,Pediatrics,Imaging,Denied,5,3265.89,44.7,0,2,2,1
2024-02,Pediatrics,Imaging,Paid,17,12200.45,20.0,15,2,0,0
2024-02,Radiology,Professional,Submitted,12,6364.56,6.8,10,2,0,0
2024-02,Radiology,Professional,In Review,16,8299.92,24.3,6,5,3,2
2024-02,Radiology,Professional,Approved,22,11015.43,19.9,15,5,2,0
2024-02,Radiology,Professional,Denied,12,5754.36,43.8,2,3,4,3
2024-02,Radiology,Professional,Paid,49,21483.21,24.8,43,5,1,0
2024-02,Radiology,Facility,Submitted,7,21267.44,5.9,6,1,0,0
2024-02,Radiology,Facility,In Review,11,39667.03,27.1,4,4,2,1
2024-02,Radiology,Facility,Approved,14,47486.96,17.5,10,3,1,0
2024-02,Radiology,Facility,Denied,9,26361.78,37.6,1,3,3,2
2024-02,Radiology,Facility,Paid,39,138433.35,21.2,34,4,1,0
2024-02,Radiology,Pharmacy,Submitted,5,994.29,5.8,5,0,0,0
2024-02,Radiology,Pharmacy,In Review,7,1491.75,24.0,3,3,1,0
2024-02,Radiology,Pharmacy,Approved,9,1728.61,20.2,7,2,0,0
2024-02,Radiology,Pharmacy,Denied,6,1411.05,37.6,1,2,2,1
2024-02,Radiology,Pharmacy,Paid,25,5800.4,21.4,22,3,0,0
2024-02,Radiology,Lab,Submitted,4,540.49,6.0,4,0,0,0
2024-02,Radiology,Lab,In Review,6,810.3,25.2,3,2,1,0
2024-02,Radiology,Lab,Approved,7,966.39,19.1,5,2,0,0
2024-02,Radiology,Lab,Denied,4,531.44,38.5,0,1,2,1
2024-02,Radiology,Lab,Paid,18,2589.46,19.8,16,2,0,0
2024-02,Radiology,Imaging,Submitted,4,3241.49,5.7,4,0,0,0
2024-02,Radiology,Imaging,In Review,5,3560.8,26.3,2,2,1,0
2024-02,Radiology,Imaging,Approved,7,4474.88,16.6,5,2,0,0
2024-02,Radiology,Imaging,Denied,4,3199.76,45.3,0,1,2,1
2024-02,Radiology,Imaging,Paid,16,11776.77,20.4,14,2,0,0
2024-02,Oncology,Professional,Submitted,8,3787.89,5.5,7,1,0,0
2024-02,Oncology,Professional,In Review,10,4668.26,26.1,4,3,2,1
2024-02,Oncology,Professional,Approved,12,6407.82,17.2,9,3,0,0
2024-02,Oncology,Professional,Denied,7,3164.93,36.9,1,2,3,1
2024-02,Oncology,Professional,Paid,31,15594.77,20.4,27,4,0,0
2024-02,Oncology,Facility,Submitted,4,11177.8,6.6,4,0,0,0
2024-02,Oncology,Facility,In Review,7,19352.89,25.8,3,3,1,0
2024-02,Oncology,Facility,Approved,8,29416.26,17.6,6,2,0,0
2024-02,Oncology,Facility,Denied,5,15774.79,45.1,0,2,2,1
2024-02,Oncology,Facility,Paid,22,69800.69,20.9,19,3,0,0
2024-02,Oncology,Pharmacy,Submitted,4,814.79,6.3,4,0,0,0
2024-02,Oncology,Pharmacy,In Review,5,1043.23,24.5,2,2,1,0
2024-02,Oncology,Pharmacy,Approved,6,1440.5,18.0,5,1,0,0
2024-02,Oncology,Pharmacy,Denied,4,808.14,37.9,0,1,2,1
2024-02,Oncology,Pharmacy,Paid,15,2759.19,21.9,13,2,0,0
2024-02,Oncology,Lab,Submitted,3,473.31,5.7,3,0,0,0
2024-02,Oncology,Lab,In Review,4,649.81,24.7,2,2,0,0
2024-02,Oncology,Lab,Approved,4,552.99,18.6,3,1,0,0
2024-02,Oncology,Lab,Denied,3,389.14,41.0,0,1,1,1
2024-02,Oncology,Lab,Paid,13,1753.43,22.9,12,1,0,0
2024-02,Oncology,Imaging,Submitted,2,1571.45,5.7,2,0,0,0
2024-02,Oncology,Imaging,In Review,3,2101.7,23.2,2,1,0,0
2024-02,Oncology,Imaging,Approved,4,2744.58,17.1,3,1,0,0
2024-02,Oncology,Imaging,Denied,3,2319.37,43.3,0,1,1,1
2024-02,Oncology,Imaging,Paid,10,6403.4,23.0,9,1,0,0
2024-02,General Surgery,Professional,Submitted,5,2600.98,5.8,5,0,0,0
2024-02,General Surgery,Professional,In Review,7,2892.72,24.0,3,3,1,0
2024-02,General Surgery,Professional,Approved,10,5331.19,16.5,7,3,0,0
2024-02,General Surgery,Professional,Denied,6,2905.75,40.2,1,2,2,1
2024-02,General Surgery,Professional,Paid,27,14609.0,22.5,24,3,0,0
2024-02,General Surgery,Facility,Submitted,5,13913.04,6.7,5,0,0,0
2024-02,General Surgery,Facility,In Review,6,19221.64,26.8,3,2,1,0
2024-02,General Surgery,Facility,Approved,7,21986.1,17.2,5,2,0,0
2024-02,General Surgery,Facility,Denied,5,16334.3,38.7,0,2,2,1
2024-02,General Surgery,Facility,Paid,20,66766.47,21.7,18,2,0,0
2024-02,General Surgery,Pharmacy,Submitted,3,536.64,5.5,3,0,0,0
2024-02,General Surgery,Pharmacy,In Review,4,734.64,23.0,2,2,0,0
2024-02,General Surgery,Pharmacy,Approved,5,989.71,20.4,4,1,0,0
2024-02,General Surgery,Pharmacy,Denied,3,646.12,46.2,0,1,1,1
2024-02,General Surgery,Pharmacy,Paid,13,2581.68,23.6,12,1,0,0
2024-02,General Surgery,Lab,Submitted,2,289.22,5.4,2,0,0,0
2024-02,General Surgery,Lab,In Review,3,494.43,23.2,2,1,0,0
2024-02,General Surgery,Lab,Approved,4,525.63,18.1,3,1,0,0
2024-02,General Surgery,Lab,Denied,3,468.67,40.9,0,1,1,1
2024-02,General Surgery,Lab,Paid,10,1252.54,22.1,9,1,0,0
2024-02,General Surgery,Imaging,Submitted,2,1400.52,6.2,2,0,0,0
2024-02,General Surgery,Imaging,In Review,3,2211.2,24.4,2,1,0,0
2024-02,General Surgery,Imaging,Approved,4,2886.66,20.2,3,1,0,0
2024-02,General Surgery,Imaging,Denied,2,1230.88,38.9,0,1,1,0
2024-02,General Surgery,Imaging,Paid,10,7287.64,22.6,9,1,0,0
2024-02,Neurology,Professional,Submitted,7,3526.22,6.4,6,1,0,0
2024-02,Neurology,Professional,In Review,10,4659.12,22.4,4,3,2,1
2024-02,Neurology,Professional,Approved,13,6776.92,20.0,9,3,1,0
2024-02,Neurology,Professional,Denied,8,3608.87,43.3,1,2,3,2
2024-02,Neurology,Professional,Paid,37,16866.03,24.0,32,4,1,0
2024-02,Neurology,Facility,Submitted,4,11352.21,5.6,4,0,0,0
2024-02,Neurology,Facility,In Review,7,21895.88,23.0,3,3,1,0
2024-02,Neurology,Facility,Approved,9,27891.43,17.4,7,2,0,0
2024-02,Neurology,Facility,Denied,5,16748.39,37.9,0,2,2,1
2024-02,Neurology,Facility,Paid,24,69926.89,23.5,21,3,0,0
2024-02,Neurology,Pharmacy,Submitted,3,551.89,6.7,3,0,0,0
2024-02,Neurology,Pharmacy,In Review,5,1091.02,21.5,2,2,1,0
2024-02,Neurology,Pharmacy,Approved,6,1262.04,19.9,5,1,0,0
2024-02,Neurology,Pharmacy,Denied,4,909.35,43.1,0,1,2,1
2024-02,Neurology,Pharmacy,Paid,16,3151.72,20.9,14,2,0,0
2024-02,Neurology,Lab,Submitted,3,426.31,5.7,3,0,0,0
2024-02,Neurology,Lab,In Review,4,594.7,24.4,2,2,0,0
2024-02,Neurology,Lab,Approved,5,664.51,19.0,4,1,0,0
2024-02,Neurology,Lab,Denied,3,417.18,38.0,0,1,1,1
2024-02,Neurology,Lab,Paid,14,2092.52,21.4,13,1,0,0
2024-02,Neurology,Imaging,Submitted,3,1906.67,6.4,3,0,0,0
2024-02,Neurology,Imaging,In Review,4,3311.75,22.7,2,2,0,0
2024-02,Neurology,Imaging,Approved,5,3537.47,17.2,4,1,0,0
2024-02,Neurology,Imaging,Denied,3,2147.63,38.7,0,1,1,1
2024-02,Neurology,Imaging,Paid,13,10451.72,23.8,12,1,0,0
2024-03,Cardiology,Professional,Submitted,10,4339.04,6.7,9,1,0,0
2024-03,Cardiology,Professional,In Review,15,7355.87,26.9,6,5,3,1
2024-03,Cardiology,Professional,Approved,17,8606.73,17.2,12,4,1,0
2024-03,Cardiology,Professional,Denied,11,5225.52,40.9,1,3,4,3
2024-03,Cardiology,Professional,Paid,53,24096.61,24.3,46,6,1,0
2024-03,Cardiology,Facility,Submitted,8,28828.68,6.0,7,1,0,0
2024-03,Cardiology,Facility,In Review,10,28745.1,23.3,4,3,2,1
2024-03,Cardiology,Facility,Approved,15,47631.1,17.8,11,3,1,0
2024-03,Cardiology,Facility,Denied,8,25484.49,44.2,1,2,3,2
